,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Lahore,Maize,1990,36613,1485,121,16.37
1,Lahore,Potatoes,1990,66667,1485,121,16.37
2,Lahore,"Rice, paddy",1990,23333,1485,121,16.37
3,Lahore,Sorghum,1990,12500,1485,121,16.37
4,Lahore,Soybeans,1990,7000,1485,121,16.37
5,Lahore,Wheat,1990,30197,1485,121,16.37
6,Lahore,Maize,1991,29068,1485,121,15.36
7,Lahore,Potatoes,1991,77818,1485,121,15.36
8,Lahore,"Rice, paddy",1991,28538,1485,121,15.36
9,Lahore,Sorghum,1991,6667,1485,121,15.36
10,Lahore,Soybeans,1991,6066,1485,121,15.36
11,Lahore,Wheat,1991,20698,1485,121,15.36
12,Lahore,Maize,1992,24876,1485,121,16.06
13,Lahore,Potatoes,1992,82920,1485,121,16.06
14,Lahore,"Rice, paddy",1992,40000,1485,121,16.06
15,Lahore,Sorghum,1992,3747,1485,121,16.06
16,Lahore,Soybeans,1992,4507,1485,121,16.06
17,Lahore,Wheat,1992,24388,1485,121,16.06
18,Lahore,Maize,1993,24185,1485,121,16.05
19,Lahore,Potatoes,1993,98446,1485,121,16.05
20,Lahore,"Rice, paddy",1993,41786,1485,121,16.05
21,Lahore,Soybeans,1993,7998,1485,121,16.05
22,Lahore,Wheat,1993,29976,1485,121,16.05
23,Lahore,Maize,1994,25848,1485,201,16.96
24,Lahore,Potatoes,1994,81404,1485,201,16.96
25,Lahore,Soybeans,1994,7927,1485,201,16.96
26,Lahore,Wheat,1994,24745,1485,201,16.96
27,Lahore,Maize,1995,31300,1485,251,15.67
28,Lahore,Potatoes,1995,111323,1485,251,15.67
29,Lahore,Soybeans,1995,11791,1485,251,15.67
30,Lahore,Wheat,1995,28703,1485,251,15.67
31,Lahore,Maize,1996,32604,1485,313.96,15.64
32,Lahore,Potatoes,1996,106138,1485,313.96,15.64
33,Lahore,Soybeans,1996,15480,1485,313.96,15.64
34,Lahore,Wheat,1996,21741,1485,313.96,15.64
35,Lahore,Maize,1997,31862,1485,376.93,15.9
36,Lahore,Potatoes,1997,109874,1485,376.93,15.9
37,Lahore,Soybeans,1997,12768,1485,376.93,15.9
38,Lahore,Wheat,1997,28516,1485,376.93,15.9
39,Lahore,Maize,1998,33416,1485,439.89,16.27
40,Lahore,Potatoes,1998,127212,1485,439.89,16.27
41,Lahore,Soybeans,1998,14327,1485,439.89,16.27
