Crop,N,P,K,pH
Rice,80,40,40,5.5
Maize,80,40,20,5.5
Chickpea,40,60,80,5.5
KidneyBeans,20,60,20,5.5
PigeonPeas,20,60,20,5.5
MothBeans,20,40,20,5.5
MungBean,20,40,20,5.5
BlackGram,40,60,20,5.0
Lentil,20,60,20,5.5
Pomegranate,20,10,40,5.5
Banana,100,75,50,6.5
Mango,20,20,30,5.0
Grapes,20,125,200,4.0
Watermelon,100,10,50,5.5
Muskmelon,100,10,50,5.5
Apple,20,125,200,6.5
Orange,20,10,10,4.0
Papaya,50,50,50,6.0
Coconut,20,10,30,5.0
Cotton,120,40,20,5.5
Jute,80,40,40,5.5
Coffee,100,20,30,5.5
Sunflower,50,60,30,5.5
